kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f64,8388608,4,1,9,23248890.000000,22737241.000000,30728929.000000,0.721635,8.649960,8.064901,1,0.0000000000000e+00
saxpy,f64,8388608,8,0,9,34822723.000000,33696474.000000,39778819.000000,0.481789,12.956164,5.384415,1,0.0000000000000e+00
saxpy,f64,8388608,8,1,9,34608378.000000,33020436.000000,36311488.000000,0.484773,12.876373,5.417763,1,0.0000000000000e+00
saxpy,f64,33554432,1,0,9,50260434.000000,48643766.000000,62932757.000000,1.335223,4.674965,14.922275,1,0.0000000000000e+00
saxpy,f64,33554432,1,1,9,62695988.000000,51209171.000000,129340944.000000,1.070385,5.831478,11.962488,1,0.0000000000000e+00
saxpy,f64,33554432,2,0,9,79271097.000000,78261553.000000,93540305.000000,0.846574,7.373154,9.461204,1,0.0000000000000e+00
saxpy,f64,33554432,2,1,9,64103251.000000,63024816.000000,66354462.000000,1.046887,5.976699,11.699875,1,0.0000000000000e+00
saxpy,f64,33554432,4,0,9,97424754.000000,94248620.000000,123673334.000000,0.688828,9.083365,7.698249,1,0.0000000000000e+00
saxpy,f64,33554432,4,1,9,100434248.000000,94210932.000000,162313842.000000,0.668187,9.367587,7.467572,1,0.0000000000000e+00
saxpy,f64,33554432,8,0,9,165083163.000000,151262964.000000,243173484.000000,0.406515,15.397462,4.543165,1,0.0000000000000e+00
saxpy,f64,33554432,8,1,9,156046200.000000,149166873.000000,234527618.000000,0.430058,14.515932,4.806269,1,0.0000000000000e+00
saxpy,f64,67108864,1,0,9,126287249.000000,114697885.000000,144763405.000000,1.062797,5.863097,11.877684,1,0.0000000000000e+00
saxpy,f64,67108864,1,1,9,102970621.000000,99880647.000000,133277120.000000,1.303457,4.780659,14.567262,1,0.0000000000000e+00
saxpy,f64,67108864,2,0,9,129120287.000000,126135336.000000,147333122.000000,1.039478,6.074412,11.617075,1,0.0000000000000e+00
saxpy,f64,67108864,2,1,9,131245796.000000,126270787.000000,165925879.000000,1.022644,6.125360,11.428938,1,0.0000000000000e+00
saxpy,f64,67108864,4,0,9,192029839.000000,188204126.000000,243344830.000000,0.698942,8.925006,7.811286,1,0.0000000000000e+00
saxpy,f64,67108864,4,1,9,199057643.000000,192178820.000000,256907843.000000,0.674266,9.081104,7.535506,1,0.0000000000000e+00
saxpy,f64,67108864,8,0,9,297596664.000000,290503222.000000,385380425.000000,0.451005,13.839920,5.040379,1,0.0000000000000e+00
saxpy,f64,67108864,8,1,9,311496237.000000,303571227.000000,381579161.000000,0.430881,14.491417,4.815467,1,0.0000000000000e+00
dot,f32,512,1,0,9,327.000000,324.000000,410.000000,3.131498,1.994238,11.665741,1,1.5732542336518e-08
dot,f32,512,1,1,9,329.000000,323.000000,383.000000,3.112462,2.006235,11.594825,1,6.2412401910570e-10
dot,f32,512,2,0,9,328.000000,326.000000,400.000000,3.121951,1.997267,11.630175,1,1.1131988263044e-10
dot,f32,512,2,1,9,328.000000,325.000000,400.000000,3.121951,1.997047,11.630175,1,1.0934617741439e-09
dot,f32,512,4,0,9,327.000000,325.000000,406.000000,3.131498,1.990904,11.665741,1,5.6953470893585e-10
dot,f32,512,4,1,9,326.000000,322.000000,407.000000,3.141104,1.984770,11.701525,1,2.6738989806686e-10
dot,f32,512,8,0,9,327.000000,322.000000,399.000000,3.131498,1.990871,11.665741,1,2.2674183914260e-09
