kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f64,2048,2,1,9,1209.000000,1204.000000,1284.000000,3.387924,1.845459,37.863000,1,0.0000000000000e+00
saxpy,f64,2048,4,0,9,1190.000000,1181.000000,1245.000000,3.442017,1.816458,38.467535,1,0.0000000000000e+00
saxpy,f64,2048,4,1,9,1176.000000,1165.000000,1249.000000,3.482993,1.795078,38.925482,1,0.0000000000000e+00
saxpy,f64,2048,8,0,9,1186.000000,1180.000000,1253.000000,3.453626,1.810350,38.597274,1,0.0000000000000e+00
saxpy,f64,2048,8,1,9,1192.000000,1182.000000,1257.000000,3.436242,1.819509,38.402993,1,0.0000000000000e+00
saxpy,f64,4096,1,0,9,2421.000000,2415.000000,2496.000000,3.383726,1.847751,37.816082,1,0.0000000000000e+00
saxpy,f64,4096,1,1,9,3689.000000,3681.000000,4151.000000,2.220656,2.815510,24.817765,1,0.0000000000000e+00
saxpy,f64,4096,2,0,9,2388.000000,2385.000000,2490.000000,3.430486,1.822561,38.338666,1,0.0000000000000e+00
saxpy,f64,4096,2,1,9,2392.000000,2386.000000,2465.000000,3.424749,1.825607,38.274555,1,0.0000000000000e+00
saxpy,f64,4096,4,0,9,2330.000000,2321.000000,2420.000000,3.515880,1.772641,39.293019,1,0.0000000000000e+00
saxpy,f64,4096,4,1,9,2335.000000,2323.000000,2415.000000,3.508351,1.776459,39.208880,1,0.0000000000000e+00
saxpy,f64,4096,8,0,9,2361.000000,2339.000000,2405.000000,3.469716,1.796238,38.777101,1,0.0000000000000e+00
saxpy,f64,4096,8,1,9,2357.000000,2348.000000,2443.000000,3.475605,1.793194,38.842908,1,0.0000000000000e+00
saxpy,f64,8192,1,0,9,4662.000000,4633.000000,4745.000000,3.514372,1.773415,39.276162,1,0.0000000000000e+00
saxpy,f64,8192,1,1,9,4818.000000,4797.000000,4876.000000,3.400581,1.832755,38.004456,1,0.0000000000000e+00
saxpy,f64,8192,2,0,9,4912.000000,4895.000000,5003.000000,3.335505,1.868510,37.277172,1,0.0000000000000e+00
saxpy,f64,8192,2,1,9,4933.000000,4910.000000,5009.000000,3.321305,1.876501,37.118481,1,0.0000000000000e+00
saxpy,f64,8192,4,0,9,4968.000000,4951.000000,5042.000000,3.297907,1.889816,36.856978,1,0.0000000000000e+00
saxpy,f64,8192,4,1,9,4636.000000,4617.000000,4708.000000,3.534081,1.763526,39.496434,1,0.0000000000000e+00
saxpy,f64,8192,8,0,9,4733.000000,4699.000000,4761.000000,3.461652,1.800418,38.686978,1,0.0000000000000e+00
saxpy,f64,8192,8,1,9,4729.000000,4693.000000,4817.000000,3.464580,1.798904,38.719702,1,0.0000000000000e+00
saxpy,f64,65536,1,0,9,38732.000000,38334.000000,50464.000000,3.384075,1.841695,37.819987,1,0.0000000000000e+00
saxpy,f64,65536,1,1,9,38499.000000,38400.000000,40503.000000,3.404556,1.830620,38.048878,1,0.0000000000000e+00
saxpy,f64,65536,2,0,9,39343.000000,39299.000000,46209.000000,3.331520,1.870746,37.232640,1,0.0000000000000e+00
saxpy,f64,65536,2,1,9,36998.000000,36961.000000,45314.000000,3.542678,1.759246,39.592512,1,0.0000000000000e+00
saxpy,f64,65536,4,0,9,37253.000000,37207.000000,44019.000000,3.518428,1.771368,39.321498,1,0.0000000000000e+00
saxpy,f64,65536,4,1,9,37439.000000,37327.000000,44165.000000,3.500948,1.780213,39.126145,1,0.0000000000000e+00
saxpy,f64,65536,8,0,9,39893.000000,39642.000000,67151.000000,3.285589,1.896897,36.719318,1,0.0000000000000e+00
saxpy,f64,65536,8,1,9,41309.000000,41176.000000,46990.000000,3.172965,1.964234,35.460644,1,0.0000000000000e+00
saxpy,f64,1048576,1,0,9,754242.000000,668750.000000,1382188.000000,2.780476,2.241491,31.074244,1,0.0000000000000e+00
saxpy,f64,1048576,1,1,9,752631.000000,672919.000000,1482843.000000,2.786428,2.236715,31.140758,1,0.0000000000000e+00
saxpy,f64,1048576,2,0,9,773934.000000,695604.000000,2527481.000000,2.709730,2.300023,30.283590,1,0.0000000000000e+00
saxpy,f64,1048576,2,1,9,738920.000000,714195.000000,1742324.000000,2.838131,2.195963,31.718589,1,0.0000000000000e+00
saxpy,f64,1048576,4,0,9,922968.000000,780058.000000,1853102.000000,2.272183,2.742930,25.393621,1,0.0000000000000e+00
saxpy,f64,1048576,4,1,9,878001.000000,764510.000000,1747817.000000,2.388553,2.609291,26.694161,1,0.0000000000000e+00
saxpy,f64,1048576,8,0,9,1346923.000000,1292609.000000,2152708.000000,1.556995,4.003887,17.400772,1,0.0000000000000e+00
saxpy,f64,1048576,8,1,9,1312832.000000,1216186.000000,2067985.000000,1.597426,3.902591,17.852627,1,0.0000000000000e+00
saxpy,f64,8388608,1,0,9,12509577.000000,12260329.000000,14145356.000000,1.341150,4.648305,14.988516,1,0.0000000000000e+00
saxpy,f64,8388608,1,1,9,15854050.000000,12246257.000000,17166234.000000,1.058229,5.891026,11.826631,1,0.0000000000000e+00
saxpy,f64,8388608,2,0,9,16429822.000000,16155671.000000,20179436.000000,1.021144,6.104969,11.412175,1,0.0000000000000e+00
saxpy,f64,8388608,2,1,9,18328763.000000,16184123.000000,37902560.000000,0.915349,6.810610,10.229823,1,0.0000000000000e+00
saxpy,f64,8388608,4,0,9,23921594.000000,23126829.000000,29807496.000000,0.701342,8.888762,7.838106,1,0.0000000000000e+00
saxpy,f64,8388608,4,1,9,23880540.000000,23253767.000000,40435751.000000,0.702548,8.873483,7.851581,1,0.0000000000000e+00
saxpy,f64,8388608,8,0,9,37150439.000000,36066815.000000,61511189.000000,0.451602,13.804774,5.047047,1,0.0000000000000e+00
saxpy,f64,8388608,8,1,9,39179677.000000,36208773.000000,55621516.000000,0.428212,14.558831,4.785644,1,0.0000000000000e+00
saxpy,f64,33554432,1,0,9,52221935.000000,49833240.000000,56528209.000000,1.285070,4.851314,14.361781,1,0.0000000000000e+00
saxpy,f64,33554432,1,1,9,50988377.000000,50012836.000000,113600665.000000,1.316160,4.737782,14.709235,1,0.0000000000000e+00
saxpy,f64,33554432,2,0,9,69157419.000000,65008034.000000,89058677.000000,0.970378,6.426054,10.844823,1,0.0000000000000e+00
saxpy,f64,33554432,2,1,9,66395489.000000,64932053.000000,97456885.000000,1.010744,6.169347,11.295948,1,0.0000000000000e+00
saxpy,f64,33554432,4,0,9,97250330.000000,96435574.000000,132250404.000000,0.690063,9.038020,7.712056,1,0.0000000000000e+00
saxpy,f64,33554432,4,1,9,99025282.000000,94671120.000000,173678058.000000,0.677694,9.202890,7.573823,1,0.0000000000000e+00
saxpy,f64,33554432,8,0,9,149299219.000000,145003423.000000,218755475.000000,0.449492,14.410617,5.023469,1,0.0000000000000e+00
saxpy,f64,33554432,8,1,9,168365982.000000,149752929.000000,285765858.000000,0.398589,15.659972,4.454582,1,0.0000000000000e+00
saxpy,f64,67108864,1,0,9,106614209.000000,98546123.000000,127731072.000000,1.258910,4.958286,14.069419,1,0.0000000000000e+00
saxpy,f64,67108864,1,1,9,103265226.000000,98441720.000000,134643921.000000,1.299738,4.804341,14.525703,1,0.0000000000000e+00
saxpy,f64,67108864,2,0,9,166460489.000000,135527731.000000,185370985.000000,0.806304,7.750669,9.011147,1,0.0000000000000e+00
saxpy,f64,67108864,2,1,9,131789286.000000,128151530.000000,158895922.000000,1.018427,6.120916,11.381805,1,0.0000000000000e+00
saxpy,f64,67108864,4,0,9,189708111.000000,186545845.000000,222018681.000000,0.707496,8.877529,7.906884,1,0.0000000000000e+00
saxpy,f64,67108864,4,1,9,193230835.000000,186264669.000000,245467097.000000,0.694598,9.051434,7.762736,1,0.0000000000000e+00
saxpy,f64,67108864,8,0,9,310264206.000000,303014468.000000,395676980.000000,0.432592,14.448829,4.834589,1,0.0000000000000e+00
saxpy,f64,67108864,8,1,9,321734027.000000,305832714.000000,482144288.000000,0.417170,14.819174,4.662236,1,0.0000000000000e+00
dot,f32,512,1,0,9,330.000000,327.000000,391.000000,3.103030,1.992283,11.559689,1,1.5732542336518e-08
dot,f32,512,1,1,9,318.000000,316.000000,391.000000,3.220126,1.997873,11.995903,1,6.2412401910570e-10
dot,f32,512,2,0,9,317.000000,316.000000,395.000000,3.230284,1.991589,12.033745,1,1.1131988263044e-10
dot,f32,512,2,1,9,318.000000,314.000000,387.000000,3.220126,1.997880,11.995903,1,1.0934617741439e-09
dot,f32,512,4,0,9,319.000000,315.000000,382.000000,3.210031,2.004156,11.958299,1,5.6953470893585e-10
dot,f32,512,4,1,9,317.000000,313.000000,391.000000,3.230284,1.991591,12.033745,1,2.6738989806686e-10
dot,f32,512,8,0,9,318.000000,313.000000,397.000000,3.220126,1.997873,11.995903,1,2.2674183914260e-09
dot,f32,512,8,1,9,319.000000,315.000000,386.000000,3.210031,2.004155,11.958299,1,2.3826108665801e-10
dot,f32,1024,1,0,9,616.000000,613.000000,696.000000,3.324675,1.935062,12.385381,1,3.2019924122096e-08
dot,f32,1024,1,1,9,616.000000,611.000000,692.000000,3.324675,1.935047,12.385381,1,3.6703642475721e-10
dot,f32,1024,2,0,9,615.000000,611.000000,686.000000,3.330081,1.931906,12.405520,1,3.8898695428917e-10
dot,f32,1024,2,1,9,616.000000,613.000000,687.000000,3.324675,1.935046,12.385381,1,4.0457539936896e-11
dot,f32,1024,4,0,9,617.000000,613.000000,691.000000,3.319287,1.938179,12.365307,1,1.8077386411141e-09
dot,f32,1024,4,1,9,615.000000,611.000000,690.000000,3.330081,1.931906,12.405520,1,2.8787117832331e-09
dot,f32,1024,8,0,9,615.000000,614.000000,709.000000,3.330081,1.931904,12.405520,1,3.9974812886982e-10
dot,f32,1024,8,1,9,615.000000,611.000000,683.000000,3.330081,1.931986,12.405520,1,3.3020146656541e-10
dot,f32,2048,1,0,9,1217.000000,1209.000000,1289.000000,3.365653,1.911494,12.538035,1,2.7750513986595e-08
dot,f32,2048,1,1,9,1213.000000,1211.000000,1287.000000,3.376752,1.905197,12.579381,1,3.0393328068637e-10
dot,f32,2048,2,0,9,1211.000000,1207.000000,8506.000000,3.382329,1.902062,12.600156,1,3.2757158963009e-10
dot,f32,2048,2,1,9,1213.000000,1205.000000,1317.000000,3.376752,1.905205,12.579381,1,3.3161434485014e-11
dot,f32,2048,4,0,9,1250.000000,1245.000000,1298.000000,3.276800,1.908291,12.207031,1,6.6675123274139e-10
dot,f32,2048,4,1,9,1248.000000,1244.000000,1322.000000,3.282051,1.905259,12.226594,1,3.5567012022536e-10
dot,f32,2048,8,0,9,1244.000000,1241.000000,1323.000000,3.292605,1.899162,12.265908,1,4.4778617257491e-10
dot,f32,2048,8,1,9,1251.000000,1244.000000,1331.000000,3.274181,1.909823,12.197273,1,1.3088550933797e-10
dot,f32,4096,1,0,9,2486.000000,2474.000000,2569.000000,3.295253,1.897610,12.275776,1,1.0986305131315e-07
dot,f32,4096,1,1,9,2604.000000,2592.000000,2669.000000,3.145929,1.987683,11.719500,1,1.2100435962451e-10
dot,f32,4096,2,0,9,2554.000000,2536.000000,2637.000000,3.207518,1.949515,11.948934,1,3.0949477621064e-10
dot,f32,4096,2,1,9,2481.000000,2471.000000,2538.000000,3.301894,1.893823,12.300515,1,8.5198516822773e-11
dot,f32,4096,4,0,9,2523.000000,2513.000000,2581.000000,3.246928,1.926198,12.095750,1,1.6943828564488e-10
dot,f32,4096,4,1,9,2483.000000,2475.000000,2544.000000,3.299235,1.895743,12.290607,1,6.6485943325540e-10
dot,f32,4096,8,0,9,2482.000000,2475.000000,2545.000000,3.300564,1.894976,12.295559,1,7.9474388044911e-11
dot,f32,4096,8,1,9,2477.000000,2466.000000,2543.000000,3.307226,1.891160,12.320379,1,4.9333882430462e-11
dot,f32,8192,1,0,9,5081.000000,5062.000000,5161.000000,3.224562,1.939639,12.012430,1,1.0235145411590e-07
dot,f32,8192,1,1,9,5186.000000,5156.000000,5269.000000,3.159275,1.979725,11.769216,1,4.1623956500172e-12
dot,f32,8192,2,0,9,4931.000000,4920.000000,5007.000000,3.322653,1.882378,12.377846,1,1.2011361420868e-09
dot,f32,8192,2,1,9,4941.000000,4923.000000,4995.000000,3.315928,1.886196,12.352794,1,2.3483696316337e-10
dot,f32,8192,4,0,9,4933.000000,4923.000000,5004.000000,3.321305,1.883139,12.372827,1,1.6446390853039e-09
dot,f32,8192,4,1,9,4949.000000,4933.000000,5016.000000,3.310568,1.889251,12.332826,1,2.1933315338983e-09
dot,f32,8192,8,0,9,4948.000000,4926.000000,13594.000000,3.311237,1.888893,12.335319,1,8.1613152022379e-11
dot,f32,8192,8,1,9,4939.000000,4919.000000,4987.000000,3.317271,1.885433,12.357796,1,1.7390874960167e-11
dot,f32,65536,1,0,9,39621.000000,39412.000000,57190.000000,3.308145,1.890634,12.323799,1,3.8665977753863e-07
dot,f32,65536,1,1,9,39507.000000,39400.000000,47855.000000,3.317691,1.885193,12.359360,1,1.6765802921190e-10
dot,f32,65536,2,0,9,39374.000000,39332.000000,46193.000000,3.328897,1.878847,12.401109,1,7.6301756950404e-10
dot,f32,65536,2,1,9,41688.000000,39362.000000,87350.000000,3.144118,1.989266,11.712753,1,7.1499344753572e-10
dot,f32,65536,4,0,9,42577.000000,42245.000000,52129.000000,3.078470,2.031688,11.468193,1,8.4706146931764e-10
dot,f32,65536,4,1,9,42710.000000,42136.000000,53500.000000,3.068883,2.038055,11.432481,1,8.3079390935632e-10
dot,f32,65536,8,0,9,42934.000000,42836.000000,60099.000000,3.052872,2.048726,11.372834,1,5.9567678515436e-10
dot,f32,65536,8,1,9,39518.000000,39341.000000,67243.000000,3.316767,1.885721,12.355920,1,4.0653316910666e-10
dot,f32,1048576,1,0,9,648281.000000,637151.000000,708417.000000,3.234943,1.933424,12.051101,1,1.5019154949354e-06
dot,f32,1048576,1,1,9,692465.000000,637449.000000,746348.000000,3.028531,2.065190,11.282159,1,2.6703297048256e-10
dot,f32,1048576,2,0,9,703641.000000,685613.000000,806495.000000,2.980429,2.098571,11.102963,1,2.5917906932688e-10
dot,f32,1048576,2,1,9,941655.000000,726417.000000,1414503.000000,2.227092,2.808391,8.296563,1,5.9056728632498e-12
dot,f32,1048576,4,0,9,715166.000000,689181.000000,932943.000000,2.932399,2.132895,10.924037,1,1.7719650512313e-09
dot,f32,1048576,4,1,9,660258.000000,608889.000000,872539.000000,3.176261,1.969138,11.832496,1,3.0780309944426e-10
dot,f32,1048576,8,0,9,714614.000000,701757.000000,879189.000000,2.934664,2.131244,10.932475,1,1.3669235055285e-11
dot,f32,1048576,8,1,9,665389.000000,642861.000000,865194.000000,3.151768,1.979953,11.741252,1,7.8327744859772e-10
dot,f32,8388608,1,0,9,6530438.000000,5861882.000000,6903416.000000,2.569080,2.428254,9.570568,1,3.6239255369568e-06
dot,f32,8388608,1,1,9,5483494.000000,5429052.000000,6541039.000000,3.059585,2.038958,11.397842,1,1.0214249699059e-09
