kernel,dtype,n,stride,gflops,cpe
saxpy,f64,2050,8,2.951764,2.123492
saxpy,f64,4098,1,3.028825,2.069504
saxpy,f64,4098,2,3.430724,1.82706
saxpy,f64,4098,4,3.525161,1.778162
saxpy,f64,4098,8,2.863732,2.189019
saxpy,f64,8194,1,3.537233,1.772014
saxpy,f64,8194,2,3.538761,1.771267
saxpy,f64,8194,4,3.534944,1.773123
saxpy,f64,8194,8,3.483103,1.799525
saxpy,f64,65538,1,3.559236,1.761054
saxpy,f64,65538,2,3.537527,1.768019
saxpy,f64,65538,4,3.51778,1.772066
saxpy,f64,65538,8,3.162878,1.970929
saxpy,f64,1048578,1,2.865923,2.17513
saxpy,f64,1048578,2,2.400635,2.59665
saxpy,f64,1048578,4,2.201822,2.831122
saxpy,f64,1048578,8,1.57812,3.950014
saxpy,f64,8388610,1,1.289159,4.835416
saxpy,f64,8388610,2,0.863168,7.221768
saxpy,f64,8388610,4,0.671066,8.918801
saxpy,f64,8388610,8,0.43638,13.715277
saxpy,f64,33554434,1,1.327616,4.840873
saxpy,f64,33554434,2,1.05812,6.073744
saxpy,f64,33554434,4,0.70144,9.119647
saxpy,f64,33554434,8,0.427774,14.459451
saxpy,f64,67108866,1,1.322019,4.978345
saxpy,f64,67108866,2,1.028296,6.07561
saxpy,f64,67108866,4,0.661663,9.433662
saxpy,f64,67108866,8,0.419076,14.902558
dot,f32,513,1,2.965318,1.987517
dot,f32,513,2,2.965318,1.987471
dot,f32,513,4,2.948276,1.998984
dot,f32,513,8,2.948276,1.998978
dot,f32,1025,1,2.94964,1.998186
dot,f32,1025,2,3.046062,1.934871
dot,f32,1025,4,2.766532,2.256313
dot,f32,1025,8,3.228346,1.933464
dot,f32,2049,1,2.801094,2.2284
dot,f32,2049,2,2.795362,2.232949
dot,f32,2049,4,2.79727,2.231429
dot,f32,2049,8,2.801094,2.228622
dot,f32,4097,1,3.297384,1.893046
dot,f32,4097,2,2.11349,2.953535
dot,f32,4097,4,2.997074,2.217085
dot,f32,4097,8,3.473506,1.913005
dot,f32,8193,1,3.01324,2.205219
dot,f32,8193,2,3.526146,1.884392
dot,f32,8193,4,3.523871,1.885617
dot,f32,8193,8,3.507277,1.894589
dot,f32,65537,1,3.194901,2.079867
dot,f32,65537,2,3.533182,1.880807
dot,f32,65537,4,3.535184,1.879577
dot,f32,65537,8,3.086273,2.022487
dot,f32,1048577,1,2.986093,2.090343
dot,f32,1048577,2,2.959181,2.109399
dot,f32,1048577,4,2.832817,2.203474
dot,f32,1048577,8,3.120881,2.000328
dot,f32,8388609,1,2.475145,2.522206
dot,f32,8388609,2,1.908049,3.271808
dot,f32,8388609,4,1.474449,4.233978
dot,f32,8388609,8,1.100802,5.671107
dot,f32,33554433,1,2.82035,2.179806
dot,f32,33554433,2,2.090516,2.940808
dot,f32,33554433,4,1.410486,4.172354
dot,f32,33554433,8,0.981776,6.357739
dot,f32,67108865,1,2.651602,2.510239
dot,f32,67108865,2,2.160996,2.886713
dot,f32,67108865,4,1.538378,3.882901
dot,f32,67108865,8,0.912208,6.582661
dot,f64,514,1,3.532646,1.870472
dot,f64,514,2,3.532646,1.870565
dot,f64,514,4,3.520548,1.876888
dot,f64,514,8,3.508532,1.883416
dot,f64,1026,1,3.631858,1.819384
dot,f64,1026,2,3.64476,1.812978
dot,f64,1026,4,3.109091,2.125297
dot,f64,1026,8,3.123288,2.115628
dot,f64,2050,1,3.113136,2.122587
dot,f64,2050,2,3.110774,2.124194
dot,f64,2050,4,3.101362,2.130608
dot,f64,2050,8,2.918149,2.139021
dot,f64,4098,1,3.528196,1.769175
dot,f64,4098,2,3.517597,1.774489
dot,f64,4098,4,3.516088,1.775375
dot,f64,4098,8,2.108025,2.96132
dot,f64,8194,1,3.537233,1.76463
dot,f64,8194,2,3.521272,1.772642
dot,f64,8194,4,3.53342,1.766549
dot,f64,8194,8,3.422009,1.824088
dot,f64,65538,1,3.391534,1.84046
dot,f64,65538,2,3.54758,1.759494
dot,f64,65538,4,2.629725,2.373809
dot,f64,65538,8,3.340197,1.868728
dot,f64,1048578,1,1.323842,4.715077
dot,f64,1048578,2,2.496659,2.500097
dot,f64,1048578,4,2.267223,2.753166
dot,f64,1048578,8,1.419484,4.397654
dot,f64,8388610,1,1.438101,4.34072
dot,f64,8388610,2,1.337281,4.667978
dot,f64,8388610,4,0.830897,7.512896
dot,f64,8388610,8,0.522632,11.946592
dot,f64,33554434,1,1.422173,4.390236
dot,f64,33554434,2,1.360137,4.591494
dot,f64,33554434,4,0.812884,7.685278
dot,f64,33554434,8,0.48897,12.778655
dot,f64,67108866,1,1.42212,4.394343
dot,f64,67108866,2,1.271296,4.917018
dot,f64,67108866,4,0.82753,7.554037
dot,f64,67108866,8,0.48467,12.895688
mul,f32,513,1,1.71,1.828121
mul,f32,513,2,1.698675,1.840309
mul,f32,513,4,1.71,1.828094
mul,f32,513,8,1.654839,1.889043
mul,f32,1025,1,1.711185,1.82687
mul,f32,1025,2,1.711185,1.826838
mul,f32,1025,4,1.69702,1.842146
mul,f32,1025,8,1.716918,1.820728
mul,f32,2049,1,1.539444,2.030628
mul,f32,2049,2,1.488017,2.10087
mul,f32,2049,4,1.544084,2.024547
